Output_file,variable,description,units,stat,calc,plot_type,ylabel_0,ylabel_1,xlabel,title
statvar,basin_intcp_stor,basin area-weighted average interception storage,inches,mean_monthly,mean,box,Monthly average, inches,,basin area-weighted average interception storage
statvar,basin_intcp_stor,basin area-weighted average interception storage,inches,mean_annual,mean,timeseries,Annual average, inches,,basin area-weighted average interception storage
statvar,basin_intcp_stor,basin area-weighted average interception storage,inches,mean_annual,mean,box,Average, inches,,basin area-weighted average interception storage
statvar,basin_actet,basin area-weighted average actual et,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average actual et
statvar,basin_actet,basin area-weighted average actual et,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average actual et
statvar,basin_actet,basin area-weighted average actual et,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average actual et
statvar,basin_snowcov,basin area-weighted average snow-covered area,decimal fraction,mean_monthly,mean,box,Monthly average, decimal fraction,,basin area-weighted average snow-covered area
statvar,basin_snowcov,basin area-weighted average snow-covered area,decimal fraction,mean_annual,mean,timeseries,Annual average, decimal fraction,,basin area-weighted average snow-covered area
statvar,basin_snowcov,basin area-weighted average snow-covered area,decimal fraction,mean_annual,mean,box,Annual average, decimal fraction,,basin area-weighted average snow-covered area
statvar,basin_ssstor,basin weighted average for gravity and preferential-flow reservoir storage,inches,mean_monthly,mean,box,Monthly average, inches,,basin weighted average for gravity and preferential-flow reservoir storage
statvar,basin_ssstor,basin weighted average for gravity and preferential-flow reservoir storage,inches,mean_annual,mean,timeseries,Annual average, inches,,basin weighted average for gravity and preferential-flow reservoir storage
statvar,basin_ssstor,basin weighted average for gravity and preferential-flow reservoir storage,inches,mean_annual,mean,box,Average, inches,,basin weighted average for gravity and preferential-flow reservoir storage
statvar,basin_potet,basin area-weighted average of potential et,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average of potential et
statvar,basin_potet,basin area-weighted average of potential et,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average of potential et
statvar,basin_potet,basin area-weighted average of potential et,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average of potential et
statvar,basin_tmin,basin area-weighted minimum air temperature,temp_units,mean_monthly,mean,box,Monthly average, F,,basin area-weighted minimum air temperature
statvar,basin_tmin,basin area-weighted minimum air temperature,temp_units,mean_annual,mean,timeseries,Annual average, F,,basin area-weighted minimum air temperature
statvar,basin_tmin,basin area-weighted minimum air temperature,temp_units,mean_annual,mean,box,Annual average, F,,basin area-weighted minimum air temperature
statvar,basin_sroff_cfs,surface runoff leaving the basin through the stream network,cfs,mean_monthly,mean,box,Monthly average, cfs,,surface runoff leaving the basin through the stream network
statvar,basin_sroff_cfs,surface runoff leaving the basin through the stream network,cfs,mean_annual,mean,timeseries,Annual average, cfs,,surface runoff leaving the basin through the stream network
statvar,basin_sroff_cfs,surface runoff leaving the basin through the stream network,cfs,mean_annual,mean,box,Annual average, cfs,,surface runoff leaving the basin through the stream network
statvar,basin_tmax,basin area-weighted maximum air temperature,temp_units,mean_monthly,mean,box,Monthly average, F,,basin area-weighted maximum air temperature
statvar,basin_tmax,basin area-weighted maximum air temperature,temp_units,mean_annual,mean,timeseries,Annual average, F,,basin area-weighted maximum air temperature
statvar,basin_tmax,basin area-weighted maximum air temperature,temp_units,mean_annual,mean,box,Annual average, F,,basin area-weighted maximum air temperature
statvar,basin_horad,potential shortwave radiation for the basin centroid,langleys,mean_monthly,mean,box,Monthly average, langleys,,potential shortwave radiation for the basin centroid
statvar,basin_horad,potential shortwave radiation for the basin centroid,langleys,mean_annual,mean,timeseries,Annual average, langleys,,potential shortwave radiation for the basin centroid
statvar,basin_horad,potential shortwave radiation for the basin centroid,langleys,mean_annual,mean,box,Annual average, langleys,,potential shortwave radiation for the basin centroid
statvar,basin_soil_to_gw,basin average excess capillary reservoir storage that drains to the gwr,inches,mean_monthly,sum,box,Average monthly total, inches,,basin average excess capillary reservoir storage that drains to the gwr
statvar,basin_soil_to_gw,basin average excess capillary reservoir storage that drains to the gwr,inches,mean_annual,sum,timeseries,Annual total, inches,,basin average excess capillary reservoir storage that drains to the gwr
statvar,basin_soil_to_gw,basin average excess capillary reservoir storage that drains to the gwr,inches,mean_annual,sum,box,Average annual total, inches,,basin average excess capillary reservoir storage that drains to the gwr
statvar,basin_pk_precip,basin area-weighted average precip added to snowpack,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average precip added to snowpack
statvar,basin_pk_precip,basin area-weighted average precip added to snowpack,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average precip added to snowpack
statvar,basin_pk_precip,basin area-weighted average precip added to snowpack,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average precip added to snowpack
statvar,basin_intcp_evap,basin area-weighted evaporation from the canopy,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted evaporation from the canopy
statvar,basin_intcp_evap,basin area-weighted evaporation from the canopy,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted evaporation from the canopy
statvar,basin_intcp_evap,basin area-weighted evaporation from the canopy,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted evaporation from the canopy
statvar,basin_snow,basin area-weighted average snowfall for basin,inches,mean_monthly,sum,box,Average monthly total water equivalent, inches,,basin area-weighted average snowfall for basin
statvar,basin_snow,basin area-weighted average snowfall for basin,inches,mean_annual,sum,timeseries,Annual total water equivalent, inches,,basin area-weighted average snowfall for basin
statvar,basin_snow,basin area-weighted average snowfall for basin,inches,mean_annual,sum,box,Average annual totall water equivalent, inches,,basin area-weighted average snowfall for basin
statvar,basin_soil_moist,basin area-weighted average capillary reservoir storage,inches,mean_monthly,mean,box,Monthly average, inches,,basin area-weighted average capillary reservoir storage
statvar,basin_soil_moist,basin area-weighted average capillary reservoir storage,inches,mean_annual,mean,timeseries,Annual average, inches,,basin area-weighted average capillary reservoir storage
statvar,basin_soil_moist,basin area-weighted average capillary reservoir storage,inches,mean_annual,mean,box,Average, inches,,basin area-weighted average capillary reservoir storage
statvar,basin_ssin,basin area-weighted average of total inflow to gravity and preferential-flow reservoirs,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average of total inflow to gravity and preferential-flow reservoirs
statvar,basin_ssin,basin area-weighted average of total inflow to gravity and preferential-flow reservoirs,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average of total inflow to gravity and preferential-flow reservoirs
statvar,basin_ssin,basin area-weighted average of total inflow to gravity and preferential-flow reservoirs,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average of total inflow to gravity and preferential-flow reservoirs
statvar,basin_soil_rechr,basin area-weighted average storage for recharge zone; upper portion of capillary reservoir where both evaportation and transpiration occurs,inches,mean_monthly,mean,box,Monthly average, inches,,basin area-weighted average storage for recharge zone; upper portion of capillary reservoir where both evaportation and transpiration occurs
statvar,basin_soil_rechr,basin area-weighted average storage for recharge zone; upper portion of capillary reservoir where both evaportation and transpiration occurs,inches,mean_annual,mean,timeseries,Annual average, inches,,basin area-weighted average storage for recharge zone; upper portion of capillary reservoir where both evaportation and transpiration occurs
statvar,basin_soil_rechr,basin area-weighted average storage for recharge zone; upper portion of capillary reservoir where both evaportation and transpiration occurs,inches,mean_annual,mean,box,Average, inches,,basin area-weighted average storage for recharge zone; upper portion of capillary reservoir where both evaportation and transpiration occurs
statvar,basin_potsw,basin area-weighted average of potential shortwave radiation,langleys,mean_monthly,mean,box,Monthly average, langleys,,basin area-weighted average of potential shortwave radiation
statvar,basin_potsw,basin area-weighted average of potential shortwave radiation,langleys,mean_annual,mean,timeseries,Annual average, langleys,,basin area-weighted average of potential shortwave radiation
statvar,basin_potsw,basin area-weighted average of potential shortwave radiation,langleys,mean_annual,mean,box,Annual average, langleys,,basin area-weighted average of potential shortwave radiation
statvar,orad,measured or computed solar radiation on a horizontal surface,langleys,mean_monthly,mean,box,Monthly average, langleys,,measured or computed solar radiation on a horizontal surface
statvar,orad,measured or computed solar radiation on a horizontal surface,langleys,mean_annual,mean,timeseries,Annual average, langleys,,measured or computed solar radiation on a horizontal surface
statvar,orad,measured or computed solar radiation on a horizontal surface,langleys,mean_annual,mean,box,Annual average, langleys,,measured or computed solar radiation on a horizontal surface
statvar,basin_pweqv,basin area-weighted average snowpack water equivalent,inches,mean_monthly,mean,box,Monthly average water equivalent, inches,,basin area-weighted average snowpack water equivalent
statvar,basin_pweqv,basin area-weighted average snowpack water equivalent,inches,mean_annual,mean,timeseries,Annual average water equivalent, inches,,basin area-weighted average snowpack water equivalent
statvar,basin_pweqv,basin area-weighted average snowpack water equivalent,inches,mean_annual,mean,box,Average water equivalent, inches,,basin area-weighted average snowpack water equivalent
statvar,basin_rain,basin area-weighted average rainfall,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average rainfall
statvar,basin_rain,basin area-weighted average rainfall,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average rainfall
statvar,basin_rain,basin area-weighted average rainfall,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average rainfall
statvar,basin_snowevap,basin area-weighted average evaporation and sublimation,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average evaporation and sublimation
statvar,basin_snowevap,basin area-weighted average evaporation and sublimation,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average evaporation and sublimation
statvar,basin_snowevap,basin area-weighted average evaporation and sublimation,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average evaporation and sublimation
statvar,basin_snowmelt,basin area-weighted average snowmelt,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average snowmelt
statvar,basin_snowmelt,basin area-weighted average snowmelt,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average snowmelt
statvar,basin_snowmelt,basin area-weighted average snowmelt,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average snowmelt
statvar,basin_gwflow_cfs,groundwater flow leaving the basin through the stream network,cfs,mean_monthly,mean,box,Monthly average, cfs,,groundwater flow leaving the basin through the stream network
statvar,basin_gwflow_cfs,groundwater flow leaving the basin through the stream network,cfs,mean_annual,mean,timeseries,Annual average, cfs,,groundwater flow leaving the basin through the stream network
statvar,basin_gwflow_cfs,groundwater flow leaving the basin through the stream network,cfs,mean_annual,mean,box,Annual average, cfs,,groundwater flow leaving the basin through the stream network
statvar,basin_ssflow_cfs,interflow leaving the basin through the stream network,cfs,mean_monthly,mean,box,Monthly average, cfs,,interflow leaving the basin through the stream network
statvar,basin_ssflow_cfs,interflow leaving the basin through the stream network,cfs,mean_annual,mean,timeseries,Annual average, cfs,,interflow leaving the basin through the stream network
statvar,basin_ssflow_cfs,interflow leaving the basin through the stream network,cfs,mean_annual,mean,box,Annual average, cfs,,interflow leaving the basin through the stream network
statvar,basin_ppt,basin area-weighted average precipitation,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average precipitation
statvar,basin_ppt,basin area-weighted average precipitation,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average precipitation
statvar,basin_ppt,basin area-weighted average precipitation,inches,mean_annual,sum,box,Average annual total, inches,,basin area-weighted average precipitation
statvar,basin_infil,basin area-weighted average for infiltration to the capillary reservoirs,inches,mean_monthly,sum,box,Average monthly total, inches,,basin area-weighted average for infiltration to the capillary reservoirs
statvar,basin_infil,basin area-weighted average for infiltration to the capillary reservoirs,inches,mean_annual,sum,timeseries,Annual total, inches,,basin area-weighted average for infiltration to the capillary reservoirs
